ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag,,,,
CHEMBL4523154,Carboxypeptidase D,O75976,SINGLE PROTEIN,Homo sapiens,11,11,9606,False,,,,
CHEMBL1628484,Amiloride-sensitive sodium channel subunit gamma,P51170,SINGLE PROTEIN,Homo sapiens,6,6,9606,False,,,,
CHEMBL3108633,Platelet-derived growth factor subunit B,P01127,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4295643,Alkyldihydroxyacetonephosphate synthase, peroxisomal,O00116,SINGLE PROTEIN,Homo sapiens,25,31,9606,False,,,
CHEMBL2520,Neutral alpha-glucosidase C,Q8TET4,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,,
CHEMBL4178,Insulin-like growth factor binding protein 1,P08833,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL5588,Prolactin receptor,P16471,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL2375205,Acyl-CoA wax alcohol acyltransferase 1,Q58HT5,SINGLE PROTEIN,Homo sapiens,11,11,9606,False,,,,
CHEMBL3309113,Activator of 90 kDa heat shock protein ATPase homolog 1,O95433,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2157852,Ubiquitin carboxyl-terminal hydrolase 21,Q9UK80,SINGLE PROTEIN,Homo sapiens,9,13,9606,False,,,,
CHEMBL5574,PCNA-associated factor,Q15004,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2406892,Myoglobin,P02144,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,,
CHEMBL3414418,Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial,P30038,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,
CHEMBL5843,UDP-glucose 4-epimerase,Q14376,SINGLE PROTEIN,Homo sapiens,7,7,9606,False,,,,
CHEMBL4295686,Mitochondrial pyruvate carrier 2,O95563,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL5977,Galectin-2,P05162,SINGLE PROTEIN,Homo sapiens,44,56,9606,False,,,,
CHEMBL1075314,Vitronectin,P04004,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2052032,Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN,P60484,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,
CHEMBL2886,Phosphoglycerate kinase 1,P00558,SINGLE PROTEIN,Homo sapiens,94,94,9606,False,,,,
CHEMBL4739693,Potassium channel subfamily T member 2,Q6UVM3,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295750,Prohibitin,P35232,SINGLE PROTEIN,Homo sapiens,4,8,9606,False,,,,
CHEMBL4295914,DCN1-like protein 4,Q92564,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,,
CHEMBL4630845,Josephin-2,Q8TAC2,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5581,Ras-related C3 botulinum toxin substrate 2,P15153,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2314,L-xylulose reductase,Q7Z4W1,SINGLE PROTEIN,Homo sapiens,11,11,9606,False,,,,
CHEMBL4523594,Laminin subunit alpha-1,P25391,SINGLE PROTEIN,Homo sapiens,26,52,9606,False,,,,
CHEMBL4523161,Lactotransferrin,P02788,SINGLE PROTEIN,Homo sapiens,26,52,9606,False,,,,
CHEMBL2959,Tyrosine-protein kinase ITK/TSK,Q08881,SINGLE PROTEIN,Homo sapiens,2440,3598,9606,False,,,,
CHEMBL4739863,Zinc finger CW-type PWWP domain protein 1,Q9H0M4,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523396,Bifunctional peptidase and arginyl-hydroxylase JMJD5,Q8N371,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1741218,Golgi-associated PDZ and coiled-coil motif-containing protein,Q9HD26,SINGLE PROTEIN,Homo sapiens,28,30,9606,False,,,,
CHEMBL3707469,Regulator of G-protein signaling 16,O15492,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523440,Spindlin-2B,Q9BPZ2,SINGLE PROTEIN,Homo sapiens,3,4,9606,False,,,,
CHEMBL4739702,La-related protein 6,Q9BRS8,SINGLE PROTEIN,Homo sapiens,1,5,9606,False,,,,
CHEMBL227,Type-1 angiotensin II receptor,P30556,SINGLE PROTEIN,Homo sapiens,1674,2300,9606,False,,,,
CHEMBL3286073,Interferon gamma,P01579,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL4516,Serine/threonine-protein kinase MRCK-A,Q5VT25,SINGLE PROTEIN,Homo sapiens,1783,2495,9606,False,,,,
CHEMBL4295672,Lysine-specific demethylase PHF2,O75151,SINGLE PROTEIN,Homo sapiens,16,16,9606,False,,,,
CHEMBL2136,Pepsinogen C,P20142,SINGLE PROTEIN,Homo sapiens,49,51,9606,False,,,,
CHEMBL2146311,Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1,Q9ULH1,SINGLE PROTEIN,Homo sapiens,89,89,9606,False,,,
CHEMBL3621028,Growth factor receptor-bound protein 10,Q13322,SINGLE PROTEIN,Homo sapiens,6,9,9606,False,,,,
CHEMBL3236,Protein-tyrosine phosphatase G1,Q05209,SINGLE PROTEIN,Homo sapiens,123,129,9606,False,,,,
CHEMBL2870,Methionyl-tRNA synthetase,P56192,SINGLE PROTEIN,Homo sapiens,98,178,9606,False,,,,
CHEMBL1743298,Sulfotransferase 4A1,Q9BR01,SINGLE PROTEIN,Homo sapiens,6,6,9606,False,,,,
CHEMBL4610,Xaa-Pro aminopeptidase 2,O43895,SINGLE PROTEIN,Homo sapiens,21,41,9606,False,,,,
CHEMBL4105777,Galactoside 2-alpha-L-fucosyltransferase 2,Q10981,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL2184,Neuronal acetylcholine receptor protein alpha-9 subunit,Q9UGM1,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5529,Voltage-gated potassium channel subunit Kv3.1,P48547,SINGLE PROTEIN,Homo sapiens,7,7,9606,False,,,,
CHEMBL3596087,Alpha-(1,6)-fucosyltransferase,Q9BYC5,SINGLE PROTEIN,Homo sapiens,8,8,9606,False,,,
CHEMBL5898,Lactoperoxidase,P22079,SINGLE PROTEIN,Homo sapiens,14,15,9606,False,,,,
CHEMBL1671609,ERO1-like protein alpha,Q96HE7,SINGLE PROTEIN,Homo sapiens,16,22,9606,False,,,,
CHEMBL2375207,Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase,P26572,SINGLE PROTEIN,Homo sapiens,10,11,9606,False,,,
CHEMBL3407313,Krueppel-like factor 1,Q13351,SINGLE PROTEIN,Homo sapiens,2,8,9606,False,,,,
CHEMBL4105703,Ras-related protein Rab-6A,P20340,SINGLE PROTEIN,Homo sapiens,230,230,9606,False,,,,
CHEMBL1293265,Serine/threonine-protein phosphatase,Q9BPW0,SINGLE PROTEIN,Homo sapiens,127,127,9606,False,,,,
CHEMBL4105814,ATP-dependent RNA helicase DHX30,Q7L2E3,SINGLE PROTEIN,Homo sapiens,170,170,9606,False,,,,
CHEMBL4105940,Diacylglycerol kinase eta,Q86XP1,SINGLE PROTEIN,Homo sapiens,7,12,9606,False,,,,
CHEMBL6122,Group XIIA secretory phospholipase A2,Q9BZM1,SINGLE PROTEIN,Homo sapiens,11,11,9606,False,,,,
CHEMBL4739854,Zinc finger MYND domain-containing protein 11,Q15326,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5578,Cyclin-dependent kinase 2-associated protein 1,O14519,SINGLE PROTEIN,Homo sapiens,33,33,9606,False,,,,
CHEMBL4739862,Interferon-induced helicase C domain-containing protein 1,Q9BYX4,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3797014,ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial,O76031,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,
CHEMBL1954,Ribonucleoside-diphosphate reductase M2 chain,P31350,SINGLE PROTEIN,Homo sapiens,14,14,9606,False,,,,
CHEMBL4846,Nck adaptor protein 1,P16333,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,,
CHEMBL3308907,Kinesin-like protein KIF6,Q6ZMV9,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL3865,Beta-glucosidase cytosolic,Q9H227,SINGLE PROTEIN,Homo sapiens,57,61,9606,False,,,,
CHEMBL4879436,Lon protease homolog, mitochondrial,P36776,SINGLE PROTEIN,Homo sapiens,24,24,9606,False,,,
CHEMBL2609,NAALADase II,Q9Y3Q0,SINGLE PROTEIN,Homo sapiens,20,20,9606,False,,,,
CHEMBL2034803,Regulator of G-protein signaling 8,P57771,SINGLE PROTEIN,Homo sapiens,42,45,9606,False,,,,
CHEMBL4105789,Putative phosphatidylinositol 4-kinase alpha-like protein P2,A4QPH2,SINGLE PROTEIN,Homo sapiens,7,13,9606,False,,,,
CHEMBL4105919,CCR4-NOT transcription complex subunit 1,A5YKK6,SINGLE PROTEIN,Homo sapiens,3,5,9606,False,,,,
CHEMBL3087,Trehalase,O43280,SINGLE PROTEIN,Homo sapiens,5,5,9606,False,,,,
CHEMBL3217392,Lymphoid enhancer-binding factor 1,Q9UJU2,SINGLE PROTEIN,Homo sapiens,2,4,9606,False,,,,
CHEMBL2375201,Tyrosine-protein kinase transmembrane receptor ROR2,Q01974,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1883,Neuronal acetylcholine receptor protein beta-2 subunit,P17787,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3108647,Histone-lysine N-methyltransferase SETD2,Q9BYW2,SINGLE PROTEIN,Homo sapiens,42,42,9606,False,,,,
CHEMBL4523239,Signal transducer and activator of transcription 2,P52630,SINGLE PROTEIN,Homo sapiens,5,18,9606,False,,,,
CHEMBL4441,C-X-C chemokine receptor type 3,P49682,SINGLE PROTEIN,Homo sapiens,1641,2387,9606,False,,,,
CHEMBL3309110,Taste receptor type 2 member 9,Q9NYW1,SINGLE PROTEIN,Homo sapiens,11,14,9606,False,,,,
CHEMBL4523469,SAFB-like transcription modulator,Q9NWH9,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4630839,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D,Q6IQ20,SINGLE PROTEIN,Homo sapiens,114,115,9606,False,,,,
CHEMBL4523401,Inositol polyphosphate multikinase,Q8NFU5,SINGLE PROTEIN,Homo sapiens,17,31,9606,False,,,,
CHEMBL3509592,Diamine acetyltransferase 2,Q96F10,SINGLE PROTEIN,Homo sapiens,6,15,9606,False,,,,
CHEMBL4588,Matrix metalloproteinase 8,P22894,SINGLE PROTEIN,Homo sapiens,1651,1852,9606,False,,,,
CHEMBL3736,Angiotensin-converting enzyme 2,Q9BYF1,SINGLE PROTEIN,Homo sapiens,110,116,9606,False,,,,
CHEMBL1075165,Phosphatidylinositol 3-kinase catalytic subunit type 3,Q8NEB9,SINGLE PROTEIN,Homo sapiens,385,457,9606,False,,,,
CHEMBL4917,Complement C3,P01024,SINGLE PROTEIN,Homo sapiens,70,152,9606,False,,,,
CHEMBL5516,Monoacylglycerol lipase ABHD12,Q8N2K0,SINGLE PROTEIN,Homo sapiens,147,194,9606,False,,,,
CHEMBL4296002,Pyrroline-5-carboxylate reductase 1, mitochondrial,P32322,SINGLE PROTEIN,Homo sapiens,62,71,9606,False,,,
CHEMBL4296242,Connector enhancer of kinase suppressor of ras 1,Q969H4,SINGLE PROTEIN,Homo sapiens,73,225,9606,False,,,,
CHEMBL4296245,Eyes absent homolog 3,Q99504,SINGLE PROTEIN,Homo sapiens,14,40,9606,False,,,,
CHEMBL2346493,Frizzled-1,Q9UP38,SINGLE PROTEIN,Homo sapiens,60,143,9606,False,,,,
CHEMBL4459,L-type amino acid transporter 1,Q01650,SINGLE PROTEIN,Homo sapiens,110,384,9606,False,,,,
CHEMBL4446,Kallikrein 4,Q9Y5K2,SINGLE PROTEIN,Homo sapiens,41,50,9606,False,,,,
CHEMBL6118,Quinone oxidoreductase,Q08257,SINGLE PROTEIN,Homo sapiens,8,9,9606,False,,,,
CHEMBL3739253,CAAX prenyl protease 1 homolog,O75844,SINGLE PROTEIN,Homo sapiens,37,44,9606,False,,,,
CHEMBL3760,Adenylate cyclase type II,Q08462,SINGLE PROTEIN,Homo sapiens,94,142,9606,False,,,,
CHEMBL3407326,Pantothenate kinase 1,Q8TE04,SINGLE PROTEIN,Homo sapiens,30,31,9606,False,,,,
CHEMBL3407328,Pantothenate kinase 3,Q9H999,SINGLE PROTEIN,Homo sapiens,37,41,9606,False,,,,
CHEMBL6155,Thiamin pyrophosphokinase 1,Q9H3S4,SINGLE PROTEIN,Homo sapiens,10,10,9606,False,,,,
CHEMBL5415,Serine/threonine-protein kinase SRPK3,Q9UPE1,SINGLE PROTEIN,Homo sapiens,837,1402,9606,False,,,,
CHEMBL4296025,Cytoskeleton-associated protein 4,Q07065,SINGLE PROTEIN,Homo sapiens,5,7,9606,False,,,,
CHEMBL2364162,Tumor necrosis factor ligand superfamily member 11,O14788,SINGLE PROTEIN,Homo sapiens,59,137,9606,False,,,,
CHEMBL5916,Membrane-bound transcription factor site-1 protease,Q14703,SINGLE PROTEIN,Homo sapiens,35,35,9606,False,,,,
CHEMBL2086,Voltage-gated potassium channel subunit Kv1.2,P16389,SINGLE PROTEIN,Homo sapiens,26,27,9606,False,,,,
CHEMBL4221,Guanine nucleotide-binding protein G(k), alpha-3 subunit,P08754,SINGLE PROTEIN,Homo sapiens,35,65,9606,False,,,
CHEMBL4295835,Thiosulfate sulfurtransferase,Q16762,SINGLE PROTEIN,Homo sapiens,135,144,9606,False,,,,
CHEMBL4295745,Cystathionine gamma-lyase,P32929,SINGLE PROTEIN,Homo sapiens,84,120,9606,False,,,,
CHEMBL4295685,Sodium-dependent phosphate transport protein 2B,O95436,SINGLE PROTEIN,Homo sapiens,17,17,9606,False,,,,
CHEMBL2761,Aspartyl aminopeptidase,Q9ULA0,SINGLE PROTEIN,Homo sapiens,9,9,9606,False,,,,
CHEMBL2021753,Kinesin-like protein KIF20A,O95235,SINGLE PROTEIN,Homo sapiens,40,148,9606,False,,,,
CHEMBL4549,Apolipoprotein B-100,P04114,SINGLE PROTEIN,Homo sapiens,50,50,9606,False,,,,
CHEMBL1900,Aldose reductase,P15121,SINGLE PROTEIN,Homo sapiens,952,1366,9606,False,,,,
CHEMBL1961790,COUP transcription factor 2,P24468,SINGLE PROTEIN,Homo sapiens,234,234,9606,False,,,,
CHEMBL4105937,Cysteine--tRNA ligase, cytoplasmic,P49589,SINGLE PROTEIN,Homo sapiens,187,187,9606,False,,,
CHEMBL3163,NF-kappa-B-repressing factor,O15226,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL2189117,Polycomb protein EED,O75530,SINGLE PROTEIN,Homo sapiens,302,553,9606,False,,,,
CHEMBL3674,Fatty acid binding protein epidermal,Q01469,SINGLE PROTEIN,Homo sapiens,229,292,9606,False,,,,
CHEMBL3351192,Bromodomain and WD repeat-containing protein 1,Q9NSI6,SINGLE PROTEIN,Homo sapiens,46,48,9606,False,,,,
CHEMBL6006,Serine/threonine-protein kinase ULK1,O75385,SINGLE PROTEIN,Homo sapiens,651,961,9606,False,,,,
CHEMBL2073693,Solute carrier family 22 member 5,O76082,SINGLE PROTEIN,Homo sapiens,77,138,9606,False,,,,
CHEMBL5985,ADP-ribosylation factor 1,P84077,SINGLE PROTEIN,Homo sapiens,2,3,9606,False,,,,
CHEMBL5819,Serine/threonine-protein kinase Nek4,P51957,SINGLE PROTEIN,Homo sapiens,864,906,9606,False,,,,
CHEMBL1949490,Midkine,P21741,SINGLE PROTEIN,Homo sapiens,16,16,9606,False,,,,
CHEMBL4295905,TBC1 domain family member 15,Q8TC07,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL4295822,Prostaglandin reductase 1,Q14914,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295820,Src substrate cortactin,Q14247,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,O75460,SINGLE PROTEIN,Homo sapiens,987,1672,9606,False,,,,
CHEMBL3124731,Presequence protease, mitochondrial,Q5JRX3,SINGLE PROTEIN,Homo sapiens,4,31,9606,False,,,
CHEMBL3273,Sodium/hydrogen exchanger 3,P48764,SINGLE PROTEIN,Homo sapiens,283,436,9606,False,,,,
CHEMBL3309107,Taste receptor type 2 member 4,Q9NYW5,SINGLE PROTEIN,Homo sapiens,11,14,9606,False,,,,
CHEMBL4295906,Solute carrier family 2, facilitated glucose transporter member 14,Q8TDB8,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,
CHEMBL4523356,BTB/POZ domain-containing protein KCTD8,Q6ZWB6,SINGLE PROTEIN,Homo sapiens,4,5,9606,False,,,,
CHEMBL2399,N-acetylgalactosamine-4-sulfatase,P15848,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3831244,HRAS-like suppressor 3,P53816,SINGLE PROTEIN,Homo sapiens,56,57,9606,False,,,,
CHEMBL4105790,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,O95340,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,,
CHEMBL2493,CaM kinase I alpha,Q14012,SINGLE PROTEIN,Homo sapiens,1307,1651,9606,False,,,,
CHEMBL4879414,Methylcytosine dioxygenase TET3,O43151,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4879424,Protein Wiz,O95785,SINGLE PROTEIN,Homo sapiens,6,6,9606,False,,,,
CHEMBL4879505,Microtubule-associated proteins 1A/1B light chain 3C,Q9BXW4,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4879423,Gamma-aminobutyric acid receptor-associated protein,O95166,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5893,Ribonuclease H1,O60930,SINGLE PROTEIN,Homo sapiens,14,14,9606,False,,,,
CHEMBL4879502,Proline-rich acidic protein 1,Q96NZ9,SINGLE PROTEIN,Homo sapiens,6,6,9606,False,,,,
CHEMBL5543,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,Q9Y463,SINGLE PROTEIN,Homo sapiens,1709,2373,9606,False,,,,
CHEMBL2424504,Lysine-specific demethylase 5A,P29375,SINGLE PROTEIN,Homo sapiens,610,833,9606,False,,,,
CHEMBL205,Carbonic anhydrase II,P00918,SINGLE PROTEIN,Homo sapiens,9897,16736,9606,False,,,,
CHEMBL4879484,F-box only protein 11,Q86XK2,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5685,Solute carrier family 22 member 1,O15245,SINGLE PROTEIN,Homo sapiens,315,622,9606,False,,,,
CHEMBL1649058,Beta-nerve growth factor,P01138,SINGLE PROTEIN,Homo sapiens,7,8,9606,False,,,,
CHEMBL5721,GMP synthase [glutamine-hydrolyzing],P49915,SINGLE PROTEIN,Homo sapiens,8,8,9606,False,,,,
CHEMBL6082,Serine/threonine-protein kinase SIK1,P57059,SINGLE PROTEIN,Homo sapiens,830,1426,9606,False,,,,
CHEMBL6189,UDP-glucuronosyltransferase 2B28,Q9BY64,SINGLE PROTEIN,Homo sapiens,8,9,9606,False,,,,
CHEMBL3542436,Cytochrome P450 2A13,Q16696,SINGLE PROTEIN,Homo sapiens,54,65,9606,False,,,,
CHEMBL4938,Adenylate kinase 2,P54819,SINGLE PROTEIN,Homo sapiens,252,264,9606,False,,,,
CHEMBL3879840,Kinesin-like protein KIF24,Q5T7B8,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL2414,C-C chemokine receptor type 4,P51679,SINGLE PROTEIN,Homo sapiens,1539,2816,9606,False,,,,
CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Q6P988,SINGLE PROTEIN,Homo sapiens,320,377,9606,False,,,,
CHEMBL1938216,Connector enhancer of kinase suppressor of ras 2,Q8WXI2,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL3831291,HLA class II histocompatibility antigen, DRB1-15 beta chain,P01911,SINGLE PROTEIN,Homo sapiens,56,121,9606,False,,,
CHEMBL2231,Cytochrome P450 1A1,P04798,SINGLE PROTEIN,Homo sapiens,624,997,9606,False,,,,
CHEMBL4295689,Diphosphoinositol polyphosphate phosphohydrolase 1,O95989,SINGLE PROTEIN,Homo sapiens,5,15,9606,False,,,,
CHEMBL1744525,Nicotinamide phosphoribosyltransferase,P43490,SINGLE PROTEIN,Homo sapiens,2493,3062,9606,False,,,,
CHEMBL2424505,Peptidyl-prolyl cis-trans isomerase C,P45877,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3977,Phosphodiesterase 6C,P51160,SINGLE PROTEIN,Homo sapiens,106,123,9606,False,,,,
CHEMBL4763,Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform,Q15172,SINGLE PROTEIN,Homo sapiens,8,8,9606,False,,
CHEMBL4523287,Cullin-4B,Q13620,SINGLE PROTEIN,Homo sapiens,11,11,9606,False,,,,
CHEMBL2287,Phospholipase A2 group 1VD,Q86XP0,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2250,Tyrosine-protein kinase BLK,P51451,SINGLE PROTEIN,Homo sapiens,1686,2406,9606,False,,,,
CHEMBL4301,L-type amino acid transporter 2,Q9UHI5,SINGLE PROTEIN,Homo sapiens,1,3,9606,False,,,,
CHEMBL1909488,Protein-arginine deiminase type-3,Q9ULW8,SINGLE PROTEIN,Homo sapiens,67,117,9606,False,,,,
CHEMBL2721,Excitatory amino acid transporter 3,P43005,SINGLE PROTEIN,Homo sapiens,285,524,9606,False,,,,
CHEMBL4523129,Synaptojanin-2,O15056,SINGLE PROTEIN,Homo sapiens,32,76,9606,False,,,,
CHEMBL4523197,B-cell lymphoma 3 protein,P20749,SINGLE PROTEIN,Homo sapiens,10,20,9606,False,,,,
CHEMBL4105817,Peroxisomal acyl-coenzyme A oxidase 3,O15254,SINGLE PROTEIN,Homo sapiens,243,243,9606,False,,,,
CHEMBL4523288,Dedicator of cytokinesis protein 1,Q14185,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523299,Membrane protein MLC1,Q15049,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5349,High affinity immunoglobulin gamma Fc receptor I,P12314,SINGLE PROTEIN,Homo sapiens,22,24,9606,False,,,,
CHEMBL4523467,Acetyl-coenzyme A synthetase, cytoplasmic,Q9NR19,SINGLE PROTEIN,Homo sapiens,423,547,9606,False,,,
CHEMBL4954,Ephrin type-A receptor 3,P29320,SINGLE PROTEIN,Homo sapiens,932,1572,9606,False,,,,
CHEMBL4016,Glutamate receptor ionotropic, AMPA 2,P42262,SINGLE PROTEIN,Homo sapiens,391,794,9606,False,,,
CHEMBL2052028,Eukaryotic initiation factor 4A-I,P60842,SINGLE PROTEIN,Homo sapiens,73,202,9606,False,,,,
CHEMBL5084,Casein kinase I isoform gamma-3,Q9Y6M4,SINGLE PROTEIN,Homo sapiens,1638,2403,9606,False,,,,
CHEMBL5995,Cytohesin-2,Q99418,SINGLE PROTEIN,Homo sapiens,19,52,9606,False,,,,
CHEMBL2424508,PHD finger protein 23,Q9BUL5,SINGLE PROTEIN,Homo sapiens,78,81,9606,False,,,,
CHEMBL4225,Dual specificity protein kinase CLK2,P49760,SINGLE PROTEIN,Homo sapiens,2876,3764,9606,False,,,,
CHEMBL2274,Sphingosine 1-phosphate receptor Edg-8,Q9H228,SINGLE PROTEIN,Homo sapiens,580,796,9606,False,,,,
CHEMBL2337,Glycine transporter 1,P48067,SINGLE PROTEIN,Homo sapiens,1764,2075,9606,False,,,,
CHEMBL5517,Secreted frizzled-related protein 1,Q8N474,SINGLE PROTEIN,Homo sapiens,108,240,9606,False,,,,
CHEMBL2024,Follicle stimulating hormone receptor,P23945,SINGLE PROTEIN,Homo sapiens,129,185,9606,False,,,,
CHEMBL4666,Steroidogenic factor 1,Q13285,SINGLE PROTEIN,Homo sapiens,342,398,9606,False,,,,
CHEMBL3988583,Sepiapterin reductase,P35270,SINGLE PROTEIN,Homo sapiens,1123,2001,9606,False,,,,
CHEMBL4762,Low affinity neurotrophin receptor p75NTR,P08138,SINGLE PROTEIN,Homo sapiens,26,32,9606,False,,,,
CHEMBL1075101,G-protein coupled receptor 81,Q9BXC0,SINGLE PROTEIN,Homo sapiens,235,382,9606,False,,,,
CHEMBL6033,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,Q6UWR7,SINGLE PROTEIN,Homo sapiens,69,69,9606,False,,,,
CHEMBL4295948,Calcyclin-binding protein,Q9HB71,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL3562166,Putative P2Y purinoceptor 10,O00398,SINGLE PROTEIN,Homo sapiens,53,96,9606,False,,,,
CHEMBL1163117,Cyclin-dependent kinase-like 3,Q8IVW4,SINGLE PROTEIN,Homo sapiens,229,240,9606,False,,,,
CHEMBL3430864,Dimethylaniline monooxygenase [N-oxide-forming] 3,P31513,SINGLE PROTEIN,Homo sapiens,4,9,9606,False,,,,
CHEMBL3407317,Ubl carboxyl-terminal hydrolase 18,Q9UMW8,SINGLE PROTEIN,Homo sapiens,3,5,9606,False,,,,
CHEMBL4295664,Tolloid-like protein 1,O43897,SINGLE PROTEIN,Homo sapiens,397,400,9606,False,,,,
CHEMBL4295995,Tolloid-like protein 2,Q9Y6L7,SINGLE PROTEIN,Homo sapiens,393,396,9606,False,,,,
CHEMBL3838,Tubulin beta-4 chain,P04350,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3797012,Tubulin beta-2A chain,Q13885,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL3797011,Tubulin alpha-1C chain,Q9BQE3,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL3808270,Caveolin-1,Q03135,SINGLE PROTEIN,Homo sapiens,4,7,9606,False,,,,
CHEMBL3580526,POU domain, class 5, transcription factor 1,Q01860,SINGLE PROTEIN,Homo sapiens,28,69,9606,False,,
CHEMBL4523504,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Q9Y223,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL3142,DNA-dependent protein kinase,P78527,SINGLE PROTEIN,Homo sapiens,1599,1835,9606,False,,,,
CHEMBL4000,Muscle glycogen synthase,P13807,SINGLE PROTEIN,Homo sapiens,150,339,9606,False,,,,
CHEMBL4191,Monoglyceride lipase,Q99685,SINGLE PROTEIN,Homo sapiens,1282,1817,9606,False,,,,
CHEMBL1795197,Heat-stable enterotoxin receptor,P25092,SINGLE PROTEIN,Homo sapiens,5,5,9606,False,,,,
CHEMBL5548,Prokineticin receptor 2,Q8NFJ6,SINGLE PROTEIN,Homo sapiens,4,9,9606,False,,,,
CHEMBL2872,Mitogen-activated protein kinase kinase kinase 9,P80192,SINGLE PROTEIN,Homo sapiens,655,926,9606,False,,,,
CHEMBL2189127,Monoacylglycerol lipase ABHD6,Q9BV23,SINGLE PROTEIN,Homo sapiens,241,318,9606,False,,,,
